date,close,vwap,volume_tons,turnover_cny,cum_turnover_cny,is_open,is_quiet,has_trade,Guangdong_GDP_Cumulative_ffill_daily_15,Guangdong_ElectricityConsumption_Monthly_ffill_daily_15,Guangdong_IndustrialAddedValue_RealPrices_AboveScaleIndustry_YoY_ffill_daily_15,China_Output_CrudeOilProcessing_Monthly_ffill_daily_15,SpotPrice_ThermalCoal_ARA_Europe_ffill_daily_1,Hubei_ElectricityConsumption_Monthly_ffill_daily_15,FuturesSettle(Cont)_BrentCrude_ffill_daily_1,Hubei_IndustrialAddedValue_RealPrices_AboveScaleIndustry_YoY_ffill_daily_15,FuturesClose(Cont)_NYMEX_NatGas_ffill_daily_1,China_Output_CrudeSteel_Monthly_ffill_daily_15,SpotPrice_ThermalCoal_欧洲ARA港_ffill_daily_1,China_ElectricityGeneration_ThermalPower_Monthly_ffill_daily_15,China_TotalSocialFinancing_Monthly_ffill_daily_15,FuturesSettle(Cont)_EUA_Futures_ffill_daily_1,China_CPI_YoY_ffill_daily_15,China_TotalElectricityConsumption_Monthly_ffill_daily_15,China_Output_RawCoal_Monthly_ffill_daily_15,Hubei_GDP_Cumulative_ffill_daily_15,China_GDP_CurrentPrices_Cumulative_ffill_daily_15,China_ManufacturingPMI_ffill_daily_15,China_Output_水泥_Monthly_ffill_daily_15,CFETS_SpotFX_USD_CNY_ffill_daily_1
2015-05-13,26.8,26.8,0.0,0.0,70998887.71,True,True,False,14948.57,3937713.0,5.4,44700000.0,61.35,1297418.0,66.86,7.0,2.864,6948.3,61.35,3497.0,12433.0,7.59,1.3758,44477544.61,30559.2,5487.93,154171.4,50.1,16138.5,6.2092
2015-05-14,26.8,26.8,0.0,0.0,70998887.71,True,True,False,14948.57,3937713.0,5.4,44700000.0,61.48,1297418.0,66.81,7.0,2.931,6948.3,61.48,3497.0,12433.0,7.64,1.3758,44477544.61,30559.2,5487.93,154171.4,50.1,16138.5,6.2044
2015-05-15,24.2,24.2,200.0,4840.0,71003727.71,True,False,True,14948.57,4271955.0,7.0,43100000.0,61.62,1289744.0,66.59,7.3,3.011,6891.0,61.62,3409.0,10582.0,7.55,1.5091,44153577.1,29801.7,5487.93,154171.4,50.1,20865.1,6.2012
2015-05-16,24.2,24.2,0.0,0.0,71003727.71,False,False,False,14948.57,4271955.0,7.0,43100000.0,60.99,1289744.0,66.81,7.3,3.017,6891.0,60.99,3409.0,10582.0,7.59,1.5091,44153577.1,29801.7,5487.93,154171.4,50.1,20865.1,6.2061
2015-05-17,24.2,24.2,0.0,0.0,71003727.71,False,False,False,14948.57,4271955.0,7.0,43100000.0,60.99,1289744.0,66.81,7.3,3.017,6891.0,60.99,3409.0,10582.0,7.59,1.5091,44153577.1,29801.7,5487.93,154171.4,50.1,20865.1,6.2061
2015-05-18,24.2,24.2,0.0,0.0,71003727.71,True,True,False,14948.57,4271955.0,7.0,43100000.0,60.99,1289744.0,66.81,7.3,3.017,6891.0,60.99,3409.0,10582.0,7.59,1.5091,44153577.1,29801.7,5487.93,154171.4,50.1,20865.1,6.2061
2015-05-19,22.6,22.6,1200.0,27124.0,71030851.71,True,False,True,14948.57,4271955.0,7.0,43100000.0,57.95,1289744.0,66.27,7.3,3.027,6891.0,57.95,3409.0,10582.0,7.6,1.5091,44153577.1,29801.7,5487.93,154171.4,50.1,20865.1,6.2043
2015-05-20,23.52,20.65,6635.0,137015.65,71167867.36,True,False,True,14948.57,4271955.0,7.0,43100000.0,57.73,1289744.0,64.02,7.3,2.96,6891.0,57.73,3409.0,10582.0,7.37,1.5091,44153577.1,29801.7,5487.93,154171.4,50.1,20865.1,6.2066
2015-05-21,21.17,21.17,12.0,254.04,71168121.4,True,False,True,14948.57,4271955.0,7.0,43100000.0,57.57,1289744.0,65.03,7.3,2.941,6891.0,57.57,3409.0,10582.0,7.35,1.5091,44153577.1,29801.7,5487.93,154171.4,50.1,20865.1,6.2038
2015-05-22,19.06,19.06,401.0,7643.0,71175764.4,True,False,True,14948.57,4271955.0,7.0,43100000.0,57.87,1289744.0,66.54,7.3,2.973,6891.0,57.87,3409.0,10582.0,7.3,1.5091,44153577.1,29801.7,5487.93,154171.4,50.1,20865.1,6.1968
2015-05-23,19.06,19.06,0.0,0.0,71175764.4,False,False,False,14948.57,4271955.0,7.0,43100000.0,58.02,1289744.0,65.37,7.3,2.885,6891.0,58.02,3409.0,10582.0,7.3,1.5091,44153577.1,29801.7,5487.93,154171.4,50.1,20865.1,6.1976
2015-05-24,19.06,19.06,0.0,0.0,71175764.4,False,False,False,14948.57,4271955.0,7.0,43100000.0,58.02,1289744.0,65.37,7.3,2.885,6891.0,58.02,3409.0,10582.0,7.3,1.5091,44153577.1,29801.7,5487.93,154171.4,50.1,20865.1,6.1976
2015-05-25,20.97,17.18,1571.0,26984.67,71202749.07,True,False,True,14948.57,4271955.0,7.0,43100000.0,58.02,1289744.0,65.37,7.3,2.885,6891.0,58.02,3409.0,10582.0,7.3,1.5091,44153577.1,29801.7,5487.93,154171.4,50.1,20865.1,6.1976
2015-05-26,18.96,18.9,2161.0,40832.67,71243581.74,True,False,True,14948.57,4271955.0,7.0,43100000.0,58.02,1289744.0,65.52,7.3,2.885,6891.0,58.02,3409.0,10582.0,7.36,1.5091,44153577.1,29801.7,5487.93,154171.4,50.1,20865.1,6.202
2015-05-27,17.3,17.3,350.0,6054.7,71249636.44,True,False,True,14948.57,4271955.0,7.0,43100000.0,58.09,1289744.0,63.72,7.3,2.829,6891.0,58.09,3409.0,10582.0,7.22,1.5091,44153577.1,29801.7,5487.93,154171.4,50.1,20865.1,6.204
2015-05-28,17.0,17.0,1070.0,18186.09,71267822.53,True,False,True,14948.57,4271955.0,7.0,43100000.0,57.8,1289744.0,62.06,7.3,2.81,6891.0,57.8,3409.0,10582.0,7.17,1.5091,44153577.1,29801.7,5487.93,154171.4,50.1,20865.1,6.2014
2015-05-29,16.56,16.67,1155.0,19254.6,71287077.13,True,False,True,14948.57,4271955.0,7.0,43100000.0,57.69,1289744.0,62.58,7.3,2.7,6891.0,57.69,3409.0,10582.0,7.18,1.5091,44153577.1,29801.7,5487.93,154171.4,50.1,20865.1,6.2012
2015-05-30,16.56,16.67,0.0,0.0,71287077.13,False,False,False,14948.57,4271955.0,7.0,43100000.0,57.62,1289744.0,65.56,7.3,2.642,6891.0,57.62,3409.0,10582.0,7.32,1.5091,44153577.1,29801.7,5487.93,154171.4,50.1,20865.1,6.1985
2015-05-31,16.56,16.67,0.0,0.0,71287077.13,False,False,False,14948.57,4271955.0,7.0,43100000.0,57.62,1289744.0,65.56,7.3,2.642,6891.0,57.62,3409.0,10582.0,7.32,1.5091,44153577.1,29801.7,5487.93,154171.4,50.1,20865.1,6.1985
2015-06-01,18.22,18.22,16.0,291.52,71287368.65,True,False,True,14948.57,4271955.0,7.0,43100000.0,57.62,1289744.0,65.56,7.3,2.642,6891.0,57.62,3409.0,10582.0,7.32,1.5091,44153577.1,29801.7,5487.93,154171.4,50.1,20865.1,6.1985
